"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"1",".hack//G.U. Last Recode",86008,1,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,80,74,NA,72.5
"2","1-2-Switch",1927365,0,0,1,0,1,0,0,0,0,0,0,0,1,58,48,40,54,68,47.3333333333333
"3","7 Days to Die",55749,1,0,0,0,0,0,0,0,0,0,1,1,3,45,59,71,36,49,50
"4","A Way Out",186767,1,0,0,0,0,0,0,0,0,0,1,1,3,78,80,80,75,83,82.1
"5","ABZU",24841,1,0,0,0,0,0,0,0,0,0,1,0,0,78,76,78,81,84,81.6
"6","Accel World vs. Sword Art Online: Millennium Twilight",30941,1,0,0,0,0,0,0,0,0,0,1,2,2,64,59,NA,50,NA,80
"7","Agents of Mayhem",42475,1,0,0,0,0,0,0,0,0,0,1,0,3,62,66,72,73,71,65.4
"8","Akiba's Beat",27914,1,0,0,0,0,0,0,0,0,0,1,2,NA,55,69,NA,46,NA,60.6666666666667
"9","Alien: Isolation",229779,1,0,0,0,0,0,0,0,1,0,0,0,3,79,82,86,86,59,85.5
"10","ARK: Survival Evolved",270351,1,0,0,0,0,0,0,0,0,0,1,2,2,69,43,69,69,77,65.6
"11","Arms",1506781,0,0,1,1,0,0,0,0,0,0,0,1,1,77,71,70,78,80,75.6
"12","Assassin's Creed IV: Black Flag",2036869,0,1,0,0,0,0,0,0,0,0,1,2,3,NA,75,82,85,85,76.6666666666667
"13","Assassin's Creed Odyssey",3176082,1,0,0,0,0,0,0,0,0,0,1,0,3,83,60,87,88,92,84.9
"14","Assassin's Creed Origins",3827137,1,0,0,0,0,0,0,0,0,0,1,0,3,81,72,85,86,90,86.8
"15","Assassin's Creed Rogue Remastered",48234,1,0,0,0,0,0,0,0,0,0,1,0,3,71,61,NA,68,68,70
"16","Assassin's Creed Syndicate",3010701,1,0,0,0,0,0,0,0,0,0,1,0,3,76,69,77,72,82,77.3
"17","Assassin's Creed The Ezio Collection",112696,1,0,0,0,0,0,0,0,0,0,1,2,NA,72,77,89,70,60,69.1428571428571
"18","Assassin's Creed: Unity",3223599,0,1,0,0,0,0,0,0,0,0,1,1,3,72,43,70,71,78,71.4444444444444
"19","Assetto Corsa",28393,1,0,0,0,0,0,1,0,0,0,0,2,0,73,60,88,64,60,73.2
"20","Astro Bot Rescue Mission",356466,1,0,0,0,0,1,0,0,0,0,0,0,1,90,89,95,89,90,90.7
"21","Attack on Titan 2",74488,1,0,0,0,0,0,0,0,0,0,1,2,3,75,72,80,75,70,72.4
"22","Batman: Arkham Knight",2720737,1,0,0,0,0,0,0,0,0,0,1,0,3,87,78,86,92,92,78.7777777777778
"23","Batman: Arkham VR",151092,1,0,0,0,0,0,0,0,0,0,1,2,3,74,72,80,73,72,76.6666666666667
"24","Batman: Return to Arkham",107899,1,0,0,0,0,0,0,0,0,0,1,2,NA,73,80,84,77,70,68.3333333333333
"25","Battleborn",145043,1,0,0,0,0,0,0,0,1,0,0,2,2,68,68,63,73,71,76
"26","Battlefield 1",6810415,1,0,0,0,0,0,0,0,1,0,0,2,3,89,79,78,89,90,89.1
"27","Battlefield 4",3780327,1,0,0,0,0,0,0,0,1,0,0,2,3,85,70,76,80,80,79.1
"28","Battlefield V",2224270,1,0,0,0,0,0,0,0,1,0,0,2,NA,73,22,75,77,73,81.4
"29","Battlefield: Hardline",1678852,1,0,0,0,0,0,0,0,1,0,0,2,3,73,51,67,73,80,74.4
"30","Bayonetta 2",305517,0,0,1,0,0,0,0,0,0,0,1,0,3,92,85,90,91,95,88.7
"31","Berserk and the Band of the Hawk",101148,1,0,0,0,0,0,0,0,0,0,1,2,NA,66,64,43,67,63,64.8571428571429
"32","BioShock The Collection",261013,1,0,0,0,0,0,0,0,1,0,0,0,3,84,84,87,85,82,84.8
"33","Blade Strangers",18210,0,0,1,1,0,0,0,0,0,0,0,2,2,75,75,60,72,NA,70.3333333333333
"34","BlazBlue Central Fiction",22281,1,0,0,1,0,0,0,0,0,0,0,2,2,84,76,60,86,NA,85.4
"35","BlazBlue: Cross Tag Battle",34915,1,0,0,1,0,0,0,0,0,0,0,2,2,76,66,89,77,83,78.3
"36","Bloodborne",1378415,1,0,0,0,0,0,0,0,0,0,1,1,3,92,89,91,91,91,94.6666666666667
"37","Borderlands: The Handsome Collection",258463,1,0,0,0,0,0,0,0,1,0,0,1,3,82,78,84,84,84,75.5
"38","Bound By Flame",56505,1,0,0,0,0,0,0,0,0,0,1,0,3,53,58,64,57,70,66.8
"39","Bravo Team VR",76692,1,0,0,0,0,0,0,0,1,0,0,2,NA,NA,NA,NA,35,NA,33.6
"40","Burnout Paradise Remastered",116383,1,0,0,0,0,0,1,0,0,0,0,2,1,82,67,66,84,88,76.3
"41","Caligula Overdose",19321,1,0,0,0,0,0,0,1,0,0,0,0,3,64,61,NA,NA,NA,60.5
"42","Call of Cthulhu",41010,1,0,0,0,0,0,0,1,0,0,0,0,3,63,72,67,65,NA,72.4
"43","Call of Duty: Advanced Warfare",7064479,1,0,0,0,0,0,0,0,1,0,0,2,3,83,57,73,80,91,82
"44","Call of Duty: Black Ops 3",14041112,1,0,0,0,0,0,0,0,1,0,0,2,3,81,48,67,77,92,73.8888888888889
"45","Call of Duty: Black Ops 4",9317241,1,0,0,0,0,0,0,0,1,0,0,2,3,83,40,73,84,85,80.6
"46","Call of Duty: Ghosts",2649629,1,0,0,0,0,0,0,0,1,0,0,2,3,78,38,67,74,88,73.5
"47","Call of Duty: Infinite Warfare",7604749,1,0,0,0,0,0,0,0,1,0,0,2,3,77,38,74,77,77,73.9
"48","Call of Duty: Modern Warfare Remastered",75798,1,0,0,0,0,0,0,0,1,0,0,2,3,83,70,79,87,85,85.3333333333333
"49","Call of Duty: WWII",13066446,1,0,0,0,0,0,0,0,1,0,0,2,3,79,43,77,75,80,78
"50","Captain Toad: Treasure Tracker",502079,0,0,1,0,1,0,0,0,0,0,0,1,0,82,80,84,82,82,84.7
"51","Cave Story+",29224,0,0,1,0,0,0,0,1,0,0,0,2,NA,NA,NA,89,81,NA,86.5
"52","Child of Light",22112,1,0,0,0,0,0,0,1,0,0,0,2,NA,82,80,82,88,93,81.5
"53","Cities: Skylines",17600,1,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,81,76,85,80.625
"54","Conan Exiles",145826,1,0,0,0,0,0,0,0,0,0,1,2,3,68,53,68,71,67,73.8
"55","Crash Bandicoot N Sane Trilogy",176221,0,1,0,0,0,1,0,0,0,0,0,0,1,79,69,84,78,85,81.2
"56","Crash Bandicoot N. Sane Trilogy",4234964,0,0,1,0,0,1,0,0,0,0,0,0,1,78,83,84,78,85,81.2
"57","Dark Souls II: Scholar of the First Sin",82365,1,0,0,0,0,0,0,0,0,0,1,1,2,87,80,85,87,90,86.7
"58","Dark Souls III",1905158,1,0,0,0,0,0,0,1,0,0,0,1,3,89,88,88,86,95,88.3
"59","Dark Souls: Remastered",317837,0,0,1,0,0,0,0,1,0,0,0,1,3,83,79,86,87,95,85.7
"60","Darksiders III",128698,1,0,0,0,0,0,0,0,0,0,1,0,3,64,73,72,67,70,73.8
"61","Dead by Daylight",21964,1,0,0,0,0,0,0,0,1,0,0,1,3,64,63,71,61,NA,70.8333333333333
"62","Dead Cells",19322,0,0,1,0,0,0,0,0,0,0,1,0,2,89,85,84,90,95,87.2222222222222
"63","Dead Island Definitive Collection",56814,1,0,0,0,0,0,0,0,0,0,1,1,3,63,63,NA,61,70,NA
"64","Dead or Alive 5: Last Round",65272,1,0,0,1,0,0,0,0,0,0,0,2,3,74,73,92,72,70,67.3
"65","Dead or Alive Xtreme 3: Fortune",40632,1,0,0,0,0,0,0,0,0,1,0,2,NA,43,74,NA,60,NA,67.3
"66","Dead Rising 3",267147,0,1,0,0,0,0,0,0,0,0,1,1,3,78,69,66,76,83,77.7777777777778
"67","Dead Rising 4",251999,0,1,0,0,0,0,0,0,0,0,1,1,3,72,47,79,77,81,75.3
"68","Deadpool",180746,1,0,0,0,0,0,0,0,0,0,1,2,NA,60,61,70,70,60,65.1
"69","Destiny",5178549,1,0,0,0,0,0,0,0,1,0,0,2,2,76,61,71,78,78,51.1
"70","Destiny 2",3882977,1,0,0,0,0,0,0,0,1,0,0,2,2,85,49,76,82,85,78.8
"71","Destiny 2: Forsaken",110022,1,0,0,0,0,0,0,0,1,0,0,2,NA,82,63,81,83,85,78.8
"72","Destiny: The Collection",59886,1,0,0,0,0,0,0,0,1,0,0,2,2,NA,71,80,95,78,78.8
"73","Destiny: The Taken King",1525459,1,0,0,0,0,0,0,0,1,0,0,2,3,86,62,80,84,90,78.8
"74","Detroit: Become Human",1100606,1,0,0,0,0,0,0,0,0,0,1,0,3,78,87,82,78,80,86.4
"75","Deus Ex: Mankind Divided",305722,1,0,0,0,0,0,0,1,0,0,0,0,3,84,76,77,83,92,84.2
"76","Devil May Cry 4",34297,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,80,81,88,81.9
